content,publishdate,title
"4h25p tại cổng nhạc viện HN, một thanh niên đang quỳ với bó hoa trên tay, chưa rõ là tỏ tình hay xin lỗi. Đứng lên chàng trai, người đàn ông chỉ quỳ với người yêu khi doggy mà thôi :( 
***
UPDATE 1: 4H35 mem ký sự đầu tiên có mặt tại hiện trường và xác nhận, đang đợi một bạn gái giấu tên là Mai >0<
***
UPDATE 2: 4H40- một bạn gái tên Mai giấu tên ra hỏi thăm và được biết không phải cậu này tìm mình, ngay sau đó đã có thêm rất nhiều bạn Mai ra với mong muốn được dắt ny về chữa trị nhưng đều không phải. MAIIIII ƠIiiii bạn ở đâu 😍😍
***
UPDATE 3: 4H50 một bạn học giấu tên có facebook Khánh Lê ra bắn tin, Mai đang bị táo bón, đợi một chút, Mọi ng hò reo cổ vũ, thanh niên đang rất hứng khởi.
****
UPDATE 4: 5H10p: cảm động trước sự si tình của chàng trai, biệt đội đàn ca sáo nhị đã xuất hiện cổ vũ🤗🤗🤗🤗
****
UPDATE 5h15: Thầy giáo bộ môn ra thông báo Mai hôm nay trốn tiết không điểm danh, thanh niên ngậm ngùi vứt hoa đi về :( 😭😭😭

UPDATE 6h00 : Thanh niên đã quay lại sau khi đi wc giải quyết nỗi buồn, bất chấp tất cả quyết chờ em ""Mai"".

Cre: Kin Yan và Toàn bộ mem ký sự hóng tại hiện trường",2018-05-15 16:37:00,Thanh niên quỳ gối tỏ tình trước cổng nhạc viện được sinh viên trường support đánh đàn phụ hoạ nhưng vẫn thất bại
"Nhà mình mà có Dream thái nguyên zin thì phải làm gì nhỉ ???? Đóng cmn khung lại thui chứ sao :3 
Để giữa phòng khách thế này, ai mà đến nhà chỉ có phục lăn sát đất

Nguồn : Ký Sự Đường Phố",2018-05-15 16:28:00,Dream Thái nguyên bản đắt hơn cả oto :O
,2018-05-15 16:22:00,Mùng 1 sớm mai lậy cụ cho con giàu ú ụ ạ:))))
"Sáng ngày 15/3, dòng người từ nhiều nơi đã đến nhà anh Nguyễn Hoàng Nam ( 29 tuổi, Đồng Nai, 1 trong 2 hiệp sĩ bị cướp đâm tử vong) để viếng thăm, chia buồn cùng gia đình anh.

Mỗi người một nén nhang, chầm chậm bước vào, tất cả đều không thể kiềm được sự xúc động khi nhìn di ảnh của chàng trai trẻ đã nằm xuống vì hành động trượng nghĩa.

Đứng phía bên ngoài phụ lo hậu sự, tiếp khách đến viếng, Quỳnh Trang (22 tuổi, người yêu anh Nam) vẫn chưa hết đau đớn mỗi lần kể về chồng sắp cưới của mình – một hiệp sĩ được bao người yêu mến.

Trang kể, tối ngày 13/5 cô nhận tin người yêu gặp nạn và tưởng đó là vụ tai nạn giao thông. Sau đó, Trang chạy đến bệnh viện rồi mới biết anh Nam trong lúc tham gia bắt cướp bị những đối tượng này dùng dao tấn công tử vong.

""Lúc đó tôi chỉ biết khóc, không biết làm gì vì tay chân cứ run run, sợ mất anh Nam. Trên đường đến bệnh viện tôi chỉ nghĩ trong đầu anh Nam sẽ không bị làm sao đâu. Sau đó mới biết anh ấy đã mãi ra đi"", Trang nói rồi gục mặt xuống và tâm sự.

""Đôi khi mấy anh tham gia bắt cướp không nghĩ đến tính mạng của mình sẽ gặp nguy hiểm, mà muốn bảo vệ cuộc sống bình yên cho mọi người. Nếu nói tại sao tính mạng mình bảo vệ không được thì làm sao bảo vệ tính mạng người khác thì các anh đã ở nhà rồi. Tuy nhiên đây là lựa chọn của anh, là niềm đam mê, nhiệt huyết muốn mang lại sự bình yên cho người dân"", Trang chia sẻ.

Mặc dù vậy, là con gái không ai không muốn người mình yêu phải bỏ mạng vì chuyện đi bắt cướp. Trang tâm sự: ""Tôi cũng muốn giữ người yêu bên mình, khuyên anh Nam không được đi tham gia bắt cướp nữa vì quá nguy hiểm. Nhưng giờ thì không khuyên được nữa rồi"".

Theo Trang, cô đã nhiều lần khuyên người yêu từ bỏ làm ""hiệp sĩ"" vì cả hai đều có dự định kết hôn, chung sống lâu dài với nhau nên không muốn anh Nam gặp nguy hiểm. Trang muốn yên bề gia thất, có một gia đình bình yên như bao người phụ nữ muốn xây đắp tổ ấm.

Bên cạnh đó, gia đình của cô cũng nhiều lần khuyên con rể tương lai nên dừng công việc ""hiệp sĩ"" để vợ con đỡ lo lắng. Sau khi ba mất, hiện Trang chỉ ở với mẹ tại quận Gò Vấp. Gia đình và họ hàng của cô đều quý mến chàng rể tương lai vì tính tình hiền lành, thật thà.

Về phần anh Nam, khi được người người yêu khuyên hạn chế hoặc từ bỏ nghiệp ""hiệp sĩ"" nhưng chàng trai trẻ vì niềm đam mê, thích làm việc nghĩa hiệp nên vẫn dấn thân để bảo vệ sự bình yên cho xã hội.

""Có lần hai đứa hẹn hò gặp nhau nhưng lúc đó anh Nam có điện thoại từ anh em trong nhóm ""hiệp sĩ"" rồi anh ấy lỡ hẹn với người yêu. Tôi cũng không trách anh ấy nhưng hơi buồn chút thôi. Quen nhau được 4 năm nên phần nào hiểu được tính cách của anh. Tôi và anh Nam cũng dự định cưới sau khi tôi ra trường, chắc khoảng 1 năm nữa. Nhưng mọi dự định đã tan biến sau sự việc đau lòng này"", Trang nói.

Sau khi người yêu mất, Trang như người mất định hướng, không biết làm thế nào để vượt qua được nỗi đau này. Cô khóc nhiều đến sưng cả cả mắt từ lúc nghe tin anh Nam bị tử nạn đến lúc đến nhận thi thể người yêu về quê nhà.

Hiện tại Trang cùng gia đình anh Nam đang tất bật lo hậu sự cho gia đình người yêu. Cô gái trẻ chỉ mong anh Nam hãy yên nghỉ, tội phạm sẽ bị pháp luật trừng trị thích đáng

theo : Thời Đại",2018-05-15 16:04:00,"Vợ sắp cưới của Hiệp Sỹ hi sinh : em muốn giữ anh bên mình lắm, nhưng bắt cướp là lựa chọn và đam mê của anh..."
"Đừng có tưởng chụy là phái yếu mà không biết thể hiện nhé, gì chứ vừa lái xe mô tô vừ châm thuốc là đẳng cấp của chị rồi.
p/s: đùa chứ trông chị này chắc k phải dạng bình thường rồi, cũng cở chị đại đây ...
nguồn: KSC",2018-05-15 15:37:00,Trông chị ấy còn ngầu hơn cả trẻ trâu..
"Trích phim :"" Phía trước là lũ dồ dại"" - với sự tham gia của diễn viên Thành Trung trong vai chị Ngệt. Lâm Nhật Lệ trong vai bà mẹ ny và t trong vai chú moè bất hạnh 🙄

nguồn: Đoàn Bảo Yến / KSC",2018-05-14 18:05:00,Nghệ thuật thả thính thảo mai áp dụng vào đời thường
Hú hồn luôn à :))),2018-05-14 16:50:00,Troll ác quá !
"Chiều 14.5, nguồn tin của Thanh Niên, cho biết Công an Q.3 phối hợp với Phòng Cảnh sát hình sự (PC45) - Công an TP.HCM đã bắt được 1 nghi can liên quan đến vụ băng cướp tấn công, đâm nhóm hiệp sĩ khiến 2 người chết, 3 người bị thương.

Hiện các điều tra viên đang lấy lời khai của nghi can này.

Các Hiệp Sỹ của chúng ta hiện tại có 3 người hi sinh đang được người thân và dân chúng thực hiện những nghi thức cuối để đưa tiễn các anh về nơi an nghỉ cuối cùng.

1 Hiệp Sỹ hi sinh đang chuẩn bị lấy vợ, 2 hiệp sỹ còn lại đã có gia đình vợ con hoàn cảnh không khá giả nhưng họ vẫn dành nhiều thời gian rảnh rỗi bảo vệ sự bình yên cho  người dân thành phố.

3 hiệp sỹ bị thương rất nghiêm trọng và đi cấp cứu trong tình trạng nguy kịch hiện chú Hoàng trưởng đội đã tỉnh lại. 2 hiệp sỹ còn lại vẫn đang giành giật sự sống từ tay tử thần.

Hiện đã bắt được 1 tên, những tên còn lại chắc chắn sẽ bị bắt sớm thôi (y)

Theo : Thanh Niên",2018-05-14 15:24:00,"Nóng : Đã bắt được 1 nghi can vụ đâm 6 Hiệp Sĩ, truy tìm tung tích 3 tên còn lại !!!"
"Sự thất vọng của một chàng trai khi bị một cô gái từ chối là đây chứ đâu ...
nguồn clip: NEU Confessions",2018-05-14 15:00:00,Sao bạn ấy chảnh thế nhỉ :(
"chú đã khóc trên giường bệnh khi biết tin các đồng đội của mình đã tử nạn. nỗi đau quá lớn cho người thân của các hiệp sỹ

Nguồn  báo THANH NIÊN",2018-05-14 14:48:00,Chú Hoàng đội trưởng đội hiệp sỹ hôm qua bị đâm trọng thương đã tỉnh lại
"Mùa hè nắng nóng oi bức, kem chính là thứ chúng ta giải nhiệt tốt nhất tuy nhiên hiện nay trên thị trường có rất nhiều loại kem được bán tràn lan. đặc biệt những cây kem siêu rẻ, mất vệ sinh vẫn đang len lỏi mọi ngóc ngách từ thành thị tới nông thôn. nhưng những cây kem đấy không ai biết họ sản xuất từ đâu, hạn sử dụng thế nào vẫn được mọi lứa tuổi đưa vào miệng khi những cái nắng hè hành hạ.
 chính vì vậy khi chúng ta lựa chọn những cây kem nên chú ý đến những của hàng uy tín, hay những cây kem có đầy đủ thông tin nhãn mác. để hạn chế tối thiểu ăn phải kem nhái và bị tào tháo lùa chạy trong cái hè oi bức nhé.
 chúc các bạn mùa hè vui vẻ bên những cây kem Ahii
nguồn ảnh:  ẩm thực tây bắc",2018-05-14 13:35:00,"Hè đến rồi a,e cẩn thận tránh ăn phải kem nhái nhé :)"
"Chuyện là cách đây mấy tháng tớ có ny. A thật sự hiền, hiểu chuyện và thương tớ, chiều tớ hết mực. Tớ tự nhận ngoại hình của tớ còn nhiều khuyết điểm: da ngăm, hơi tròn vì tớ 60 kg. Còn theo mọi ng nhận xét thì tớ dễ gần và ưa nhìn vậy đó. Lúc đầu yêu nhau tớ cũng ngại vì làn da của mình lắm, nên toàn mặc áo thun với jeans thôi. Đi chơi với ny tớ k dám mặc quần ngắn hoặc đầm luôn í . Anh bảo có gì đâu mà em ngại, đen trắng như nào cũng đc miễn là chân thành. Vâng, tớ thấy yên tâm cho đến một ngày anh cầm tay tớ, ngắm một hồi lâu rồi cười sặc sụa. Tớ hỏi sao lại cười thì anh bảo là: da em đen gần ngang với da anh rồi này. Tớ vốn ít để bụng, với lại ít để bụng nên chỉ cười xong thôi. Cũng từ đấy, mỗi lần đi chơi anh hay chê tớ đen, xuống sắc rồi lại bảo ngày xưa nyc anh trắng lắm, ny của bạn anh, của mấy thằng đơn vị anh xinh lắm lại trắng nữa, cũng k mập như em đâu. Tớ cay lắm nhưng lần này tớ nói lại: suy nghĩ của anh thay đổi rồi à, k tiếp tục được nữa thì dừng lại đi, em không xinh không trắng bằng mấy cô nyc của anh đâu. Và thế là chia tay thật. Sau đấy tớ soi được thì hình như anh ta yêu lại chị nyc kia.
Chia tay nhau khoảng được 1 tháng rồi, bây giờ tớ đã giảm được 7kg, dành thời gian chăm sóc da bằng các liệu pháp thiên nhiên nữa. Tớ thấy tự tin hẳn vì da tớ đã có sự thay đổi màu rõ rệt rồi. Phải nói là cảm ơn nyc vì anh ta đã làm động lực để tớ đẹp hơn. Nghe đâu nyc cũng đã chia tay ny rồi. Đáng đời tên 2 mặt.
Điều cuối cùng tớ muốn nhắn nhủ là: các bạn nam ạ, ngoại hình k quan trọng bằng tâm hồn và cách đối nhân xử thế để tạo nên tình yêu đâu. Nên các bạn hãy trân trọng ny mình dù các bạn ấy có không được xinh, da không trắng và eo k thon nhé.
Nguồn: NEU Confessions",2018-05-14 13:01:00,Tâm sự của một cô gái có làn da ngăm đen và bếu bị người iu đá.
"không có việc j làm ah sen mà lại ra chọc phá khi gấu iu của tui đang ngủ ...:(
nguồn: Boss và sen",2018-05-14 12:02:00,"Con sen đừng hòng đụng vào gấu của tao nhé, quyết bảo vệ đến cùng."
"Trích xuất camera, xác định nhóm đối tượng đâm 5 thành viên đội hiệp sĩ thương vong
Qua trích xuất camera, c.an xác định nhóm đối tượng đã dùng dao tự chế đâm 5 thành viên trong đội hiệp sĩ Tân Bình thương vong. Hiện c.an đang tung nhiều lực lượng tiến hành truy bắt các đối tượng gây án.

Ngày 14/5, C.an quận 3 đang phối hợp cùng các đơn vị nghiệp vụ Công an TPHCM tiến hành điều tra truy bắt nhóm trộm đâm các thành viên trong đội hiệp sĩ Tân Bình khiến 5 người thương vong. 

Hai hiệp sĩ tử vong được xác định là anh Nguyễn Hoàng Nam (29 tuổi, ngụ quận Gò Vấp,) và anh Nguyễn Văn Thôi (42 tuổi, ngụ tỉnh Bình Định, trú quận Tân Bình). 

Ba hiệp sĩ bị thương đang được điều trị tại bệnh viện là anh Trần Văn Hoàng (47 tuổi, trú quận Tân Bình), anh Nguyễn Đức Huy (22 tuổi, ngụ quận Tân Phú) và anh Đinh Phú Quý (22 tuổi, ngụ huyện Củ Chi). 

Theo điều tra ban đầu, khoảng 20h30 ngày 13/5, nhóm hiệp sĩ Tân Bình gồm các anh: Thôi, Nam, Hoàng, Huy, Quý, Đinh Văn Tài và anh Lê Văn Tuyên lưu thông trên 4 xe máy trên khu vực quận 3, TPHCM. 

Khi đến khu vực đường Bắc Hải, quận 10 thì phát hiện 2 thanh niên đi xe máy hiệu Exiter có biểu hiện trộm cắp tài sản các anh tiến hành bám đuổi theo từ khu Bắc Hải về đường Cách Mạng Tháng Tám, quận 3. 
Thấy vậy, nhóm hiệp sĩ đường phố đã tổ chức vây bắt đối tượng trộm xe SH. Khi tiếp cận đối tượng đang bẻ khóa xe SH thì đối tượng này rút dao tự chế giấu trong người ra, đâm trúng nhiều thành viên trong nhóm hiệp sĩ và lên xe bỏ chạy về hướng ngã sáu D.ân Ch.ủ, quận 3 tẩu thoát. 

Người dân đưa 2 hiệp sĩ vào bệnh viện cấp cứu nhưng vì thương tích nặng nên cả 2 đều tử vong. Còn các anh Hoàng, Quý, Huy vẫn đang được điều trị. Riêng anh Tài và anh Tuyên không bị thương. 

Bước đầu, qua trích xuất camera, Công an xác định nhóm đối tượng đã dùng dao tự chế đâm 5 thành viên trong đội hiệp sĩ Tân Bình thương vong. Hiện công an đang tung nhiều lực lượng tiến hành truy bắt các đối tượng gây án.

Nguồn : kenh14 #hiepsi",2018-05-14 11:38:00,"Trích xuất camera,  xác định nhóm đối tượng đâm 6 Hiệp Sỹ thương vong đêm qua !!!"
"Chọn yêu anh hay là nghe đáp án,thôi thì trong lúc nên bảng thì em vẫn cứ nghe đáp án đã hihi",2018-05-14 11:10:00,Chọn yêu anh hay là nghe đáp án
"Trời ơi, đây là diễn viên - ca sỹ đây à, sao lại hoang tàn như này , không nhận ra luôn ý , mọi lần lên ảnh, lên sóng nhìn như Hàn Quốc mà giờ lại ....

Nguồn: Thanhnien.vn",2018-05-15 13:36:00,Dân mạng sốc nặng trước hình ảnh tàn tạ của Rocker Nguyễn trên phố
"Sáng nay ngày 15/5, Công an TP.HCM đã tổ chức cuộc họp báo, thông tin chính thức về vụ án mạng khiến 5 hiệp sĩ thương vong trên đường Cách Mạng Tháng 8, quận 3, TP.HCM vào tối ngày 13/5 gây xôn xao dư luận. 
Theo đó, Công an TP.HCM đã bắt giữ hai nghi can gồm Nguyễn Tấn Tài (sinh năm 1993, còn gọi Tài ""mụn"", ngụ quận 12, bị bắt tại quận Gò Vấp vào tối qua) và Nguyễn Hoàng Châu Phú (sinh năm 1994, ngụ Hóc Môn). 
Thiếu tướng Phan Anh Minh - Phó giám đốc, Thủ trưởng Cơ quan CSĐT Công an TPHCM nhận định, đây là vụ án đặc biệt nghiêm trọng, đối tượng trực tiếp gây án là Tài ""mụn"" cực kỳ hung bạo. 
   
     Thiếu tướng Phan Anh Minh cũng thông tin, qua trích xuất camera cho thấy, thời gian nhóm trộm rút dao tấn công các ""hiệp sĩ"" diễn ra trong thời gian rất nhanh, chỉ 13 giây. Sau khi gây án, cả hai tẩu thoát khỏi hiện trường.
nguồn: Kênh 14",2018-05-15 13:10:00,"Qua trích xuất camera cho thấy, Tài mụn đâm thương vong 5 hiệp sĩ ở Sài Gòn chỉ 13 giây."
"Vụ việc xảy ra vào khoảng 12h30 tại ngã 4 Cổ Nhuế - Phạm Văn Đồng. Theo thông tin của mọi người xung quanh cho biết: một số xe đi với tốc độ cao khi đến đèn xanh đèn đỏ Cổ Nhuế - Phạm Văn Đồng không phanh kịp nên dẫn đến dồn toa. Vụ việc khiến 6 xe ô tô bị hư hỏng và 1 người điều khiển xe máy bị thương.

Giao thông bị cản trở nghiêm trọng theo hướng đi cầu Thăng Long.

Hiện cơ quan chức năng đang tiến hành điều tra, làm rõ.

Nguồn: 91.com.vn",2018-05-15 13:09:00,Va chạm liên hoàn 6 xe ô tô và 1 xe máy trên đường Phạm Văn Đồng hướng đi cầu Thăng Long
"Anh Trần Quốc Công sinh năm 1987, hiện sống và làm việc tại Hà Nội, công việc chính của anh là kinh doanh tự do. Thế nhưng với dáng vẻ bên ngoài mang những hình xăm thì không một ai có thể hình dung anh sẽ làm những việc tâm đức đến vậy.
Anh Công chia sẻ: “Mình đã bắt đầu công việc thu, nhặt những hài nhi bị bỏ rơi do nạo phá thai cách đây 2 năm. Ngày đầu chỉ xuất phát từ tâm ý muốn cho những đứa trẻ được siêu thoát, được an táng đàng hoàng. Mình cũng chỉ muốn làm điều gì đó để cộng đồng có cái nhìn khác đi và để tạo phúc cho các con mình sau này. Ngày đầu chỉ có mình và một hai người bạn làm nhưng sau cũng khá nhiều bạn trẻ tham gia và mình lập thành nhóm hoạt động từ thiện”.
Những chi phí để làm công việc này anh Công tự bỏ ra và cùng với một người em của anh thay nhau làm. Có nhiều người cho rằng anh điên, gã khùng cho đến ngày 2/5/2018 clip anh chạy xe để cứu một sinh linh bé bỏng vừa bị chính mẹ của bé bỏ rơi thì cả cộng đồng hết lời khen ngợi, thán phục hành động của anh.
Nói về việc chạy xe cứu những bé sơ sinh này anh Công cho biết: “ Mình cùng vài bạn tình nguyện viên trong nhóm, thay nhau làm, việc kiếm tìm những bé bị bỏ và còn sống thì mình không tiện chia sẻ. Nhưng để làm được việc này có rất nhiều người chung tay không chỉ một mình mình. Sau khi tìm được các bé bị bỏ rơi nguyên do từ những bà mẹ nạo phá tại các phòng khám, mình xem con còn thở được không, dù chỉ là hơi thở yếu ớt mình cũng cố gắng đưa con đến bệnh viện. Hiện tại, mình cứu sống được 3 bé, Hương Ly, Đức Thiện… các con đều mang họ Trần của mình”.
    Công việc thầm lặng của anh Trần Quốc Công khiến bao người thấy tim mình nghẹn lại. Phải can đảm và là một người có trái tim nhân hậu như anh Công mới có thể làm được việc này, tôi nghĩ vậy khi được trực tiếp nhìn anh tỷ mỉ gỡ từng bọc nilon bao bọc những hài nhi không còn lành lặn lẫn trong máu và tắm cho các bé.
       Hỏi anh về gia đình có phản ứng ra sao khi biết anh làm việc này, anh Công trầm lặng một hồi, rồi tâm sự: “May mắn với tôi, là sự quan tâm, chăm sóc, chia sẻ từ vợ và các con tôi. Ngày đầu vợ tôi  buồn, vì mỗi lần tắm, chuẩn bị khâm niệm, an táng cho các bé hơi lạnh tôi  không thể về nhà. Trong lúc đó, vợ chờ chồng, con mong cha, có ai lại muốn chồng mình đi sớm khuya như vậy đâu. Cái hơi lạnh tử thi dù đốt vía cũng không hết nổi, nên mỗi lần như vậy tôi lại chờ đến sáng hôm sau mới về nhà. Sau trách móc, tôi biết vợ mình vẫn luôn ủng hộ và yêu mình”.
  Con số về những hài nhi được anh Công an táng là quá nhiều để có thể thống kê. Nếu chúng ta tìm hiểu về những con số về việc nạo phá thai sẽ phải rùng mình, theo báo cáo của Vụ Sức khỏe bà mẹ và trẻ em, Bộ Y tế, mỗi năm Việt Nam có 250.000-300.000 ca nạo phá thai (như năm 2016 là trên 260.000 ca), tuy nhiên đây chỉ là con số được báo cáo, còn thực tế chưa thể thống kê được. Tổ chức Y tế thế giới xếp Việt Nam vào danh sách những nước có tỉ lệ nạo phá thai cao nhất thế giới và là nước có tỉ lệ nạo phá thai cao nhất châu Á.
    Qua thông tin về những con số kể trên và đặc biệt là câu chuyện về hành động cao đẹp của anh Trần Quốc Công, chúng ta sẽ có những điều đáng để ngẫm. Đây cũng chính là một tiếng chuông cảnh tỉnh cho giới trẻ cần phải ý thức hơn về việc quan hệ tình dục, việc tuyên truyền về sức khoẻ sinh sản cũng cần được nâng cao hơn nữa. Để từ đó, ước mong “Hi vọng những gì mình làm để mọi người nhìn khác đi và ngẫm lại những điều đã làm. Mình tin từ bây giờ trở đi sẽ có nhiều người không muốn bỏ đi giọt máu của mình nữa” của người đàn ông xăm trổ có tấm lòng thánh thiện sẽ được thực hiện.
 p/s : Đúng là Hậu quả cuộc sống buông thả của giới trẻ đã hại biết bao sinh linh bé bỏng còn chưa kịp chào đời. haizzzz
Nguồn: Ký Sự Đường Phố ",2018-05-15 11:36:00,Người đàn ông xăm trổ cùng nhiều hài nhi bị ruồng bỏ !!!
"CA.TPHCM đã bắt được 2 tên cướp, là hung thủ trong vụ đâm chết 2 hiệp sĩ và làm bị thương 3 hiệp sĩ khác hôm 13/5.
Nguyễn Hoàng Châu Phú và Nguyễn Tấn Tài (Tài mụn) đều 24 tuổi, ngụ tại TP.HCM.

Hiện vẫn còn 2 đối tượng nữa, cơ quan công an đang tích cực điều tra và vây bắt nhưng chắc cũng không lâu nữa đâu (y)

tại cơ quan điều tra Tài thừa nhận, khoảng 18h ngày 13/5,  anh ta và Phú rủ nhau chạy xe đi tìm ""con mồi"" để trộm cướp, có mang theo hung khí.
Đến đường Cách Mạng Tháng 8 (quận 3), bộ đôi phát hiện xe SH trước một căn nhà, Phú dừng xe để Tài xuống trộm.
Lúc này đội ""hiệp sĩ"" Tân Bình vây bắt nên Tài rút dao tấn công các hiệp sĩ. Sau đó, Phú chở Tài chạy theo hướng ngã sáu Vòng xoay Dân Ch.ủ (quận 3).
Sau khi Phú bị bắt , Tài lẩn trốn nhiều nơi và bị Công an TP.HCM bắt trên đường Phạm Văn Chiêu, phường 9, quận Gò Vấp.

#beatvn #hongbien #hiepsiduongpho

Theo : Thời Đại",2018-05-15 10:38:00,Chân dung 2 nghi can cầm đầu trong vụ đâm 5 Hiệp Sĩ thương vong đã bị bắt đêm qua !!!
